#Gene Name	Gene ID	Protein ID	Ensembl Reference ID
ATG1	YGL180W	YGL180W	saccharomyces_cerevisiae
ATG1	MGG_06393	MGG_06393T0	magnaporthe_oryzae
ATG1	FOXG_09345	FOXG_09345P0	fusarium_oxysporum
ATG1	FGRRES_05547	CEF87249	fusarium_graminearum
ATG2	YNL242W	YNL242W	saccharomyces_cerevisiae
ATG2	MGG_16734	MGG_16734T0	magnaporthe_oryzae
ATG2	FOXG_05121	FOXG_05121P0	fusarium_oxysporum
ATG2	FGRRES_10283	CEF75666	fusarium_graminearum
ATG3	YNR007C	YNR007C	saccharomyces_cerevisiae
ATG3	MGG_16734	MGG_16734T0	magnaporthe_oryzae
ATG3	FOXG_03624	FOXG_03624P0	fusarium_oxysporum
ATG3	FGRRES_08900	CEF77363	fusarium_graminearum
ATG4	YNL223W	YNL223W	saccharomyces_cerevisiae
ATG4	MGG_03580	MGG_03580T0	magnaporthe_oryzae
ATG4	FOXG_08170	FOXG_08170P0	fusarium_oxysporum
ATG4	FGRRES_17282_M	CEF84485	fusarium_graminearum
ATG5	YPL149W	YPL149W	saccharomyces_cerevisiae
ATG5	MGG_09262	MGG_09262T0	magnaporthe_oryzae
ATG5	FOXG_05412	FOXG_05412P0	fusarium_oxysporum
ATG5	FGRRES_10053	CEF75388	fusarium_graminearum
ATG6	YPL120W	YPL120W	saccharomyces_cerevisiae
ATG6	MGG_03694	MGG_03694T0	magnaporthe_oryzae
ATG6	FOXG_00995	FOXG_00995P0	fusarium_oxysporum
ATG6	FGRRES_11805	CEF72655	fusarium_graminearum
ATG7	YHR171W	YHR171W	saccharomyces_cerevisiae
ATG7	MGG_07297	MGG_07297T0	magnaporthe_oryzae
ATG7	FOXG_05141	FOXG_05141P0	fusarium_oxysporum
ATG7	FGRRES_10226	CEF75596	fusarium_graminearum
ATG8	YBL078C	YBL078C	saccharomyces_cerevisiae
ATG8	MGG_01062	MGG_01062T0	magnaporthe_oryzae
ATG8	FOXG_12665	FOXG_12665P0	fusarium_oxysporum
ATG8	FGRRES_10740	CEF88089	fusarium_graminearum
ATG9	YDL149W	YDL149W	saccharomyces_cerevisiae
ATG9	MGG_09559	MGG_09559T0	magnaporthe_oryzae
ATG9	FOXG_08161	FOXG_08161P0	fusarium_oxysporum
ATG9	FGRRES_13660	CEF83573	fusarium_graminearum
ATG10	YLL042C	YLL042C	saccharomyces_cerevisiae
ATG10	MGG_14737	MGG_14737T0	magnaporthe_oryzae
ATG10	FOXG_00436	FOXG_00436P0	fusarium_oxysporum
ATG11	YPR049C	YPR049C	saccharomyces_cerevisiae
ATG11	MGG_04486	MGG_04486T0	magnaporthe_oryzae
ATG11	FOXG_00674	FOXG_00674P0	fusarium_oxysporum
ATG11	FGRRES_15734	CEF72304	fusarium_graminearum
ATG12	YBR217W	YBR217W	saccharomyces_cerevisiae
ATG12	MGG_00598	MGG_00598T0	magnaporthe_oryzae
ATG12	FOXG_05928	FOXG_05928P0	fusarium_oxysporum
ATG12	FGRRES_13550	CEF84013	fusarium_graminearum
ATG13	YPR185W	YPR185W	saccharomyces_cerevisiae
ATG13	MGG_00454	MGG_00454T0	magnaporthe_oryzae
ATG13	FOXG_03295	FOXG_03295P0	fusarium_oxysporum
ATG13	FGRRES_08491	CEF76849	fusarium_graminearum
ATG14	YBR128C	YBR128C	saccharomyces_cerevisiae
ATG15	YCR068W	YCR068W	saccharomyces_cerevisiae
ATG15	MGG_12828	MGG_12828T0	magnaporthe_oryzae
ATG15	FOXG_10547	FOXG_10547P0	fusarium_oxysporum
